Timestamp,Equity,Profile,Risk,LevCap,Mode,DD,WinRate20
1704607260.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704607320.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704607380.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704607440.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704607500.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704607560.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704607620.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704607680.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704607740.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704607800.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704607860.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704607920.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704607980.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704608040.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704608100.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704608160.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704608220.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704608280.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704608340.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704608400.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704608460.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704608520.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704608580.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704608640.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704608700.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704608760.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704608820.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704608880.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704608940.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704609000.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704609060.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704609120.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704609180.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704609240.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704609300.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704609360.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704609420.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704609480.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704609540.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704609600.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704609660.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704609720.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704609780.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704609840.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704609900.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704609960.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704610020.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704610080.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704610140.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704610200.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704610260.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704610320.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704610380.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704610440.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704610500.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704610560.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704610620.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704610680.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704610740.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704610800.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
1704610860.0,30.0,SMALL,0.02,3.0,NORMAL,0.0,0.0
