Scenario,PositionId,EntryTs,ExitTs,Direction,EntryPrice,ExitPrice,ExpMove,Cost,Realized,Net,Slope,ADX,Regime
A_Baseline,6976016f,1704063120.0,1704132420.0,SELL,42139.100494,42990.478880380775,15.4,7.0,-202.04000000000016,-209.04000000000016,-30.377764,36.14,TREND
A_Baseline,a5d95d19,1704132960.0,1704155040.0,BUY,43113.631002,44829.208606831584,14.3,7.0,397.9199999999995,390.9199999999995,11.420997,63.36,TREND
A_Baseline,5a08a5f8,1704156060.0,1704282900.0,BUY,44690.026218,43787.46644850128,21.8,7.0,-201.95999999999722,-208.95999999999722,6.326051,33.57,TREND
A_Baseline,116c3a63,1704283200.0,1704283680.0,SELL,43546.289,41812.798327488,47.2,7.0,398.0799999999988,391.0799999999988,-50.089215,67.34,TREND
A_Baseline,f4a69e88,1704283860.0,1704284640.0,SELL,41683.6616,42525.8382989664,151.3,7.0,-202.0400000000007,-209.0400000000007,-112.64078,75.97,TREND
A_Baseline,c44a1fc4,1704284820.0,1704297240.0,SELL,42029.752368,42878.92148484307,105.1,7.0,-202.03999999999948,-209.03999999999948,-31.459957,41.02,TREND
A_Baseline,69fffc87,1704297420.0,1704308160.0,BUY,42899.678219999994,42033.276318668875,24.5,7.0,-201.95999999999978,-208.95999999999978,31.43538,22.78,TREND
A_Baseline,7b699374,1704308340.0,1704336420.0,SELL,42247.268856,43100.83267596662,36.7,7.0,-202.03999999999928,-209.03999999999928,-29.145796,43.16,TREND
A_Baseline,c6d666a1,1704352860.0,1704381300.0,SELL,42973.733534000006,43841.97484632094,14.3,7.0,-202.03999999999937,-209.03999999999937,-11.090075,42.08,TREND
A_Baseline,68819f3e,1704381480.0,1704402001.0,BUY,43907.009646,44160.46614,23.6,7.0,57.72574721974684,50.72574721974684,15.255864,48.63,TREND
B1_Sens_Slip0,a88c2d4b,1704154500.0,1704282900.0,BUY,44543.413896,43648.180363518186,24.5,11.0,-200.98000000000098,-211.98000000000098,17.181883,54.28,TREND
B1_Sens_Slip0,07b8aced,1704283200.0,1704283680.0,SELL,43550.6445,41812.799581872,47.2,11.0,399.04000000000025,388.04000000000025,-50.089215,67.34,TREND
B1_Sens_Slip0,46faa9a8,1704283860.0,1704286380.0,SELL,41687.8308,42525.8395747416,151.3,11.0,-201.01999999999913,-212.01999999999913,-112.64078,75.97,TREND
B1_Sens_Slip0,cc66406b,1704286800.0,1704395940.0,BUY,42640.253599,44341.429156585706,32.2,11.0,398.9599999999996,387.9599999999996,9.541499,19.35,CHOP
B1_Sens_Slip0,6740f174,1704400680.0,1704402001.0,BUY,44494.449,44164.88307,25.2,11.0,-74.06899903401367,-85.06899903401367,38.51739,36.35,TREND
B2_Sens_Spr0,7aaab878,1704154500.0,1704282900.0,BUY,44547.867792,43648.17905407277,24.5,12.0,-201.9599999999996,-213.9599999999996,17.181883,54.28,TREND
B2_Sens_Spr0,39fe7774,1704283200.0,1704283680.0,SELL,43546.289,41812.798327488,47.2,12.0,398.0799999999988,386.0799999999988,-50.089215,67.34,TREND
B2_Sens_Spr0,827cd5e4,1704283860.0,1704284640.0,SELL,41683.6616,42525.8382989664,151.3,12.0,-202.0400000000007,-214.0400000000007,-112.64078,75.97,TREND
B2_Sens_Spr0,7a55ec7f,1704284820.0,1704297240.0,SELL,42029.752368,42878.92148484307,105.1,12.0,-202.03999999999948,-214.03999999999948,-31.459957,41.02,TREND
B2_Sens_Spr0,881d523a,1704297900.0,1704308160.0,BUY,43329.18410399999,42454.1079018356,46.3,12.0,-201.96000000000132,-213.96000000000132,36.978059,35.84,TREND
B2_Sens_Spr0,b035d0b6,1704308340.0,1704336420.0,SELL,42247.268856,43100.83267596662,36.7,12.0,-202.03999999999928,-214.03999999999928,-29.145796,43.16,TREND
B2_Sens_Spr0,531c1962,1704382200.0,1704402001.0,BUY,44272.862802,44160.46614,28.8,12.0,-25.387258669644694,-37.387258669644694,37.314895,44.18,TREND
B_HeavyRealism,c3fe0795,1704282900.0,1704283680.0,SELL,43571.10528,41870.089329868795,43.3,20.0,390.40000000000185,370.40000000000185,-68.935388,62.63,TREND
B_HeavyRealism,4314ddb0,1704283860.0,1704284640.0,SELL,41650.308,42525.79747415999,151.3,20.0,-210.1999999999983,-230.1999999999983,-112.64078,75.97,TREND
B_HeavyRealism,84afbe49,1704284820.0,1704297240.0,SELL,41996.12184000001,42878.8803210768,105.1,20.0,-210.19999999999877,-230.19999999999877,-31.459957,41.02,TREND
B_HeavyRealism,a8980e28,1704297900.0,1704308160.0,BUY,43363.84051999999,42454.06714589039,46.3,20.0,-209.80000000000044,-229.80000000000044,36.978059,35.84,TREND
C_RiskCapped,365a6156,1704282900.0,1704283680.0,SELL,43571.10528,41870.089329868795,43.3,20.0,390.40000000000185,370.40000000000185,-68.935388,62.63,TREND
C_RiskCapped,6d879cc3,1704283860.0,1704284640.0,SELL,41650.308,42525.79747415999,151.3,20.0,-210.1999999999983,-230.1999999999983,-112.64078,75.97,TREND
C_RiskCapped,917a3426,1704284820.0,1704297240.0,SELL,41996.12184000001,42878.8803210768,105.1,20.0,-210.19999999999877,-230.19999999999877,-31.459957,41.02,TREND
C_RiskCapped,c3a8aa8f,1704297900.0,1704308160.0,BUY,43363.84051999999,42454.06714589039,46.3,20.0,-209.80000000000044,-229.80000000000044,36.978059,35.84,TREND
D_Strict,f3f8bb75,1704282900.0,1704283680.0,SELL,43571.10528,41870.089329868795,43.3,20.0,390.40000000000185,370.40000000000185,-68.935388,62.63,TREND
D_Strict,f8e151e6,1704285540.0,1704297360.0,SELL,42147.94986,43033.8997660572,62.3,20.0,-210.1999999999995,-230.1999999999995,-8.273964,32.45,TREND
E_EdgeFiltered,b3efb7b7,1704154620.0,1704282900.0,BUY,44659.274659999995,43722.3230776332,26.9,20.0,-209.79999999999936,-229.79999999999936,21.502158,55.77,TREND
E_EdgeFiltered,27097bef,1704284700.0,1704297660.0,SELL,42291.67599,43180.6470193098,106.9,20.0,-210.19999999999902,-230.19999999999902,-4.368238,43.84,TREND
E_EdgeFiltered,070a8fb3,1704300420.0,1704380460.0,SELL,42921.00603,43823.2055767506,30.3,20.0,-210.20000000000135,-230.20000000000135,-10.176503,30.95,TREND
E_EdgeFiltered,6a7cf6b5,1704382260.0,1704402001.0,BUY,44274.23,44125.1307,29.3,20.0,-33.67631690037335,-53.67631690037335,30.368555,45.7,TREND
F_HomeRun_Pctl,6de2d1f3,1704154620.0,1704282900.0,BUY,44659.274659999995,43722.3230776332,26.9,20.0,-209.79999999999936,-229.79999999999936,21.502158,55.77,TREND
F_HomeRun_Pctl,0ce6b8f2,1704284820.0,1704297240.0,SELL,41996.12184000001,42878.8803210768,105.1,20.0,-210.19999999999877,-230.19999999999877,-31.459957,41.02,TREND
F_HomeRun_Pctl,69f4c17b,1704308160.0,1704336420.0,SELL,42236.29143,43124.09827585859,29.7,20.0,-210.19999999999797,-230.19999999999797,-36.015232,35.01,TREND
F_HomeRun_Pctl,935784dd,1704382200.0,1704402001.0,BUY,44308.274009999994,44125.1307,28.8,20.0,-41.333884944075756,-61.333884944075756,37.314895,44.18,TREND
G_HomeRun_Strict_Pctl,a515d8d3,1704154680.0,1704282900.0,BUY,44721.216539999994,43782.965416990795,28.0,20.0,-209.7999999999997,-229.7999999999997,25.345707,57.02,TREND
G_HomeRun_Strict_Pctl,5a7f78fa,1704382200.0,1704402001.0,BUY,44308.274009999994,44125.1307,28.8,20.0,-41.333884944075756,-61.333884944075756,37.314895,44.18,TREND
H_HomeRun_p90,df9a1a63,1704282900.0,1704283680.0,SELL,43571.10528,41870.089329868795,43.3,20.0,390.40000000000185,370.40000000000185,-68.935388,62.63,TREND
H_HomeRun_p90,ae137db0,1704283860.0,1704284640.0,SELL,41650.308,42525.79747415999,151.3,20.0,-210.1999999999983,-230.1999999999983,-112.64078,75.97,TREND
