Timestamp,Equity,Profile,Risk,LevCap,Mode,DD,WinRate20
1704072180.0,9996.638813439438,SCALE,0.01,3.0,NORMAL,0.0012093954179516547,0.0
1704072240.0,9996.918778914438,SCALE,0.01,3.0,NORMAL,0.0011814233274064687,0.0
1704072300.0,9996.638224038437,SCALE,0.01,3.0,NORMAL,0.0012094543065634268,0.0
1704072360.0,9996.022299993438,SCALE,0.01,3.0,NORMAL,0.0012709929057628726,0.0
1704072420.0,9996.021121191437,SCALE,0.01,3.0,NORMAL,0.0012711106829862348,0.0
1704072480.0,9996.141358995437,SCALE,0.01,3.0,NORMAL,0.0012590974062047333,0.0
1704072540.0,9996.474075859938,SCALE,0.01,3.0,NORMAL,0.0012258547849145836,0.0
1704072600.0,9996.193815684437,SCALE,0.01,3.0,NORMAL,0.0012538563197657467,0.0
1704072660.0,9995.669543494938,SCALE,0.01,3.0,NORMAL,0.001306237739849818,0.0
1704072720.0,9994.675518708438,SCALE,0.01,3.0,NORMAL,0.001405553383438226,0.0
1704072780.0,9994.350464056937,SCALE,0.01,3.0,NORMAL,0.0014380304527766116,0.0
1704072840.0,9994.350464056937,SCALE,0.01,3.0,NORMAL,0.0014380304527766116,0.0
1704072900.0,9992.736094717939,SCALE,0.01,3.0,NORMAL,0.0015993263601519379,0.0
1704072960.0,9991.198052808437,SCALE,0.01,3.0,NORMAL,0.0017529961923157813,0.0
1704073020.0,9990.051667863438,SCALE,0.01,3.0,NORMAL,0.0018675345420219051,0.0
1704073080.0,9988.431699214938,SCALE,0.01,3.0,NORMAL,0.0020293898912082478,0.0
1704073140.0,9989.862175441938,SCALE,0.01,3.0,NORMAL,0.001886467230675079,0.0
1704073200.0,9990.319550617938,SCALE,0.01,3.0,NORMAL,0.0018407696680159554,0.0
1704073260.0,9989.506766638937,SCALE,0.01,3.0,NORMAL,0.0019219770635147259,0.0
1704073320.0,9989.980939743438,SCALE,0.01,3.0,NORMAL,0.0018746011754227348,0.0
1704073380.0,9990.363460992437,SCALE,0.01,3.0,NORMAL,0.0018363824664463,0.0
1704073440.0,9990.452165842938,SCALE,0.01,3.0,NORMAL,0.0018275197303892405,0.0
1704073500.0,9990.511400643438,SCALE,0.01,3.0,NORMAL,0.001821601424916057,0.0
1704073560.0,9990.319255917439,SCALE,0.01,3.0,NORMAL,0.0018407991123217506,0.0
1704073620.0,9991.293830470937,SCALE,0.01,3.0,NORMAL,0.0017434267929187296,0.0
1704073680.0,9991.145006718438,SCALE,0.01,3.0,NORMAL,0.0017582961673663583,0.0
1704073740.0,9990.437136117438,SCALE,0.01,3.0,NORMAL,0.0018290213899869736,0.0
1704073800.0,9990.908656917438,SCALE,0.01,3.0,NORMAL,0.0017819105006476842,0.0
1704073860.0,9990.640184761938,SCALE,0.01,3.0,NORMAL,0.001808734263265224,0.0
1704073920.0,9991.073689197437,SCALE,0.01,3.0,NORMAL,0.00176542168937896,0.0
