Timestamp,Equity,Profile,Risk,LevCap,Mode,DD,WinRate20
1701378060.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701378120.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701378180.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701378240.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701378300.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701378360.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701378420.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701378480.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701378540.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701378600.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701378660.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701378720.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701378780.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701378840.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701378900.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701378960.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701379020.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701379080.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701379140.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701379200.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701379260.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701379320.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701379380.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701379440.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701379500.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701379560.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701379620.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701379680.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701379740.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701379800.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701379860.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701379920.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701379980.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701380040.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701380100.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701380160.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701380220.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701380280.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701380340.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
1701380400.0,10000.0,PRO,0.005,3.0,NORMAL,0.0,0.0
