Scenario,PositionId,EntryTs,ExitTs,Direction,EntryPrice,ExitPrice,ExpMove,Cost,Realized,Net,Slope,ADX,Regime,Score,SafetyFactor
B1_Sens_Slip0,f931382c,1704154620.0,1704282900.0,BUY,44619.121466,43722.36636277634,,11.0,-200.97999999999797,-211.97999999999797,21.502158,55.77,TREND,,
B1_Sens_Slip0,8852a41d,1704283200.0,1704283680.0,SELL,43550.6445,41812.799581872,,11.0,399.04000000000025,388.04000000000025,-50.089215,67.34,TREND,,
B1_Sens_Slip0,5ae7c704,1704283860.0,1704286380.0,SELL,41687.8308,42525.8395747416,,11.0,-201.01999999999913,-212.01999999999913,-112.64078,75.97,TREND,,
B1_Sens_Slip0,88babf0f,1704286800.0,1704395940.0,BUY,42640.253599,44341.429156585706,,11.0,398.9599999999996,387.9599999999996,9.541499,19.35,CHOP,,
