Scenario,PositionId,EntryTs,ExitTs,Direction,EntryPrice,ExitPrice,ExpMove,Cost,Realized,Net,Slope,ADX,Regime,Score,SafetyFactor
G_HomeRun_Strict_Pctl,0240fdeb,1704281220.0,1704283260.0,SELL,44505.929520000005,42768.4180315392,,20.0,390.400000000001,370.400000000001,-21.928376,65.9,TREND,,
G_HomeRun_Strict_Pctl,fd9b97ce,1704283440.0,1704283740.0,SELL,42922.00503,41246.3299536288,,20.0,390.3999999999993,370.3999999999993,-71.803742,71.78,TREND,,
G_HomeRun_Strict_Pctl,a5853508,1704283920.0,1704284160.0,SELL,41515.882560000005,42388.5464114112,,20.0,-210.19999999999783,-230.19999999999783,-114.828225,75.04,TREND,,
