balance,max_bars,min_conviction,trend_floor,chop_floor,total_return,max_drawdown,total_trades,total_signals,trend_signals,chop_signals,veto_rate,low_conviction_rate,lockdown_rate,warmup_rate,final_equity
30,500,0.3,0.4,0.6,0.00,0.00,0,401,401,0,1.0000,0.0000,0.0000,0.0000,30.00
30,500,0.3,0.4,0.7,0.00,0.00,0,401,401,0,1.0000,0.0000,0.0000,0.0000,30.00
30,500,0.3,0.4,0.8,0.00,0.00,0,401,401,0,1.0000,0.0000,0.0000,0.0000,30.00
30,500,0.3,0.5,0.6,0.00,0.00,0,401,401,0,1.0000,0.0000,0.0000,0.0000,30.00
30,500,0.3,0.5,0.7,0.00,0.00,0,401,401,0,1.0000,0.0000,0.0000,0.0000,30.00
30,500,0.3,0.5,0.8,0.00,0.00,0,401,401,0,1.0000,0.0000,0.0000,0.0000,30.00
30,500,0.3,0.6,0.6,0.00,0.00,0,401,401,0,1.0000,0.0000,0.0000,0.0000,30.00
30,500,0.3,0.6,0.7,0.00,0.00,0,401,401,0,1.0000,0.0000,0.0000,0.0000,30.00
