Timestamp,Symbol,Side,Price,Qty,Comm,PnL,Event,PositionId
1704062760.0,BTCUSDT,SELL,42415.93161,0.02947005,1.2499996253432806,0.0,OPEN,fe998947
1704137280.0,BTCUSDT,BUY_SL,43307.5144924422,0.02947005,1.2762746174679962,-27.551266742183717,CLOSE,fe998947
1704139260.0,BTCUSDT,BUY,43644.71111,0.02855786,1.2463995496198246,0.0,OPEN,35d21a3f
1704164400.0,BTCUSDT,SELL_TP,45345.1090548456,0.02855786,1.2949592760730129,47.26476717711539,CLOSE,35d21a3f
1704166980.0,BTCUSDT,BUY,45496.5511,0.02752191,1.252151984684601,0.0,OPEN,9b11d0d4
1704281040.0,BTCUSDT,SELL_SL,44542.03345792199,0.02752191,1.2258818360459178,-27.49603047472897,CLOSE,9b11d0d4
1704282840.0,BTCUSDT,SELL,44031.924,0.02835575,1.248558228963,0.0,OPEN,131066c6
1704283260.0,BTCUSDT,BUY_TP,42312.91768703999,0.02835575,1.199814515704284,47.5438987430115,CLOSE,131066c6
1704285060.0,BTCUSDT,SELL,42151.825979999994,0.02975779,1.2543451856293841,0.0,OPEN,20286450
1704297360.0,BTCUSDT,BUY_SL,43037.85736209959,0.02975779,1.2807115214313136,-27.647047323360802,CLOSE,20286450
1704299160.0,BTCUSDT,BUY,43365.29197,0.02884179,1.2507326442874263,0.0,OPEN,5d5f5f03
1704308160.0,BTCUSDT,SELL_SL,42455.4881444694,0.02884179,1.2244922734102759,-27.464863150560536,CLOSE,5d5f5f03
1704310560.0,BTCUSDT,BUY,42891.34849999999,0.0145384,0.6235715810323998,0.0,OPEN,cebd734e
1704400680.0,BTCUSDT,SELL_TP,44562.39543755999,0.0145384,0.6478659298294221,23.64648286719289,CLOSE,cebd734e
