Timestamp,Symbol,Side,Price,Qty,Comm,PnL,Event,PositionId
1704062760.0,BTCUSDT,SELL,42454.144161,0.02944353,1.2499998672287282,0.0,OPEN,8b9869da
1704137340.0,BTCUSDT,BUY_SL,43307.55736692442,0.02944353,1.27512736455976,-26.40262469559166,CLOSE,8b9869da
1704137700.0,BTCUSDT,BUY,43356.145181,0.0575025,2.4930867382704522,0.0,OPEN,c83855e5
1704157080.0,BTCUSDT,SELL_TP,45085.88194914118,0.0575025,2.5925509267804907,96.8716375832576,CLOSE,c83855e5
1704158760.0,BTCUSDT,BUY,45045.144064,0.0279351,1.2583406039422464,0.0,OPEN,571d6d40
1704282660.0,BTCUSDT,SELL_SL,44139.826758601725,0.0279351,1.2330504744842152,-26.523179932515582,CLOSE,571d6d40
1704282960.0,BTCUSDT,SELL,43658.673696,0.01437134,0.6274336436342726,0.0,OPEN,377c48d7
1704283680.0,BTCUSDT,BUY_TP,41916.51798083481,0.01437134,0.6023965315186905,24.434715584063365,CLOSE,377c48d7
1704283860.0,BTCUSDT,SELL,41687.8308,0.03017292,1.2578435837019362,0.0,OPEN,94ff559e
1704286380.0,BTCUSDT,BUY_SL,42525.8395747416,0.03017292,1.2831287554215123,-26.56830047499772,CLOSE,94ff559e
1704286800.0,BTCUSDT,BUY,42640.253598999996,0.0294174,1.2543653962232224,0.0,OPEN,2a7868d8
1704395940.0,BTCUSDT,SELL_TP,44341.429156585706,0.0294174,1.3044095580709443,48.73975228965091,CLOSE,2a7868d8
1704396240.0,BTCUSDT,BUY,44315.691126000005,0.01421958,0.6301505152214473,0.0,OPEN,56400315
1704402001.0,BTCUSDT,SELL_EOS,44164.88307,0.01421958,0.6280060880045107,-2.7724333049410146,CLOSE,56400315
