Scenario,PositionId,EntryTs,ExitTs,Direction,EntryPrice,ExitPrice,ExpMove,Cost,Realized,Net,Slope,ADX,Regime
A_Baseline_Norm,604803db,1704282900.0,1704283680.0,SELL,43571.10528,41870.089329868795,43.3,20.0,390.40000000000185,370.40000000000185,-68.935388,62.63,TREND
A_Baseline_Norm,46680c45,1704283860.0,1704284640.0,SELL,41650.308,42525.79747415999,151.3,20.0,-210.1999999999983,-230.1999999999983,-112.64078,75.97,TREND
A_Baseline_Norm,212c331d,1704284820.0,1704297240.0,SELL,41996.12184000001,42878.8803210768,105.1,20.0,-210.19999999999877,-230.19999999999877,-31.459957,41.02,TREND
A_Baseline_Norm,3008396b,1704297900.0,1704308160.0,BUY,43363.84051999999,42454.06714589039,46.3,20.0,-209.80000000000044,-229.80000000000044,36.978059,35.84,TREND
V1_SellOnly,0b8466d8,1704282900.0,1704283680.0,SELL,43571.10528,41870.089329868795,43.3,20.0,390.40000000000185,370.40000000000185,-68.935388,62.63,TREND
V1_SellOnly,de66d542,1704283860.0,1704284640.0,SELL,41650.308,42525.79747415999,151.3,20.0,-210.1999999999983,-230.1999999999983,-112.64078,75.97,TREND
V1_SellOnly,9b03ef53,1704284820.0,1704297240.0,SELL,41996.12184000001,42878.8803210768,105.1,20.0,-210.19999999999877,-230.19999999999877,-31.459957,41.02,TREND
V2_CapExp80,58b54bba,1704282900.0,1704283680.0,SELL,43571.10528,41870.089329868795,43.3,20.0,390.40000000000185,370.40000000000185,-68.935388,62.63,TREND
V2_CapExp80,d5de0d90,1704285540.0,1704297360.0,SELL,42147.94986,43033.8997660572,62.3,20.0,-210.1999999999995,-230.1999999999995,-8.273964,32.45,TREND
V2_CapExp80,7942aa17,1704297900.0,1704308160.0,BUY,43363.84051999999,42454.06714589039,46.3,20.0,-209.80000000000044,-229.80000000000044,36.978059,35.84,TREND
V4_Combo,cb26e141,1704282900.0,1704283680.0,SELL,43571.10528,41870.089329868795,43.3,20.0,390.40000000000185,370.40000000000185,-68.935388,62.63,TREND
V4_Combo,53cd0735,1704285540.0,1704297360.0,SELL,42147.94986,43033.8997660572,62.3,20.0,-210.1999999999995,-230.1999999999995,-8.273964,32.45,TREND
V5_Adx45,4ef65328,1704282900.0,1704283680.0,SELL,43571.10528,41870.089329868795,43.3,20.0,390.40000000000185,370.40000000000185,-68.935388,62.63,TREND
VT_1.8_Smart,48c37a32,1704282900.0,1704283680.0,SELL,43571.10528,41870.089329868795,43.3,20.0,390.40000000000185,370.40000000000185,-68.935388,62.63,TREND
VT_1.8_Smart,22b5e0af,1704283860.0,1704284640.0,SELL,41650.308,42525.79747415999,151.3,20.0,-210.1999999999983,-230.1999999999983,-112.64078,75.97,TREND
VT_1.8_Smart,6af6fc46,1704284820.0,1704297240.0,SELL,41996.12184000001,42878.8803210768,105.1,20.0,-210.19999999999877,-230.19999999999877,-31.459957,41.02,TREND
VT_1.8_Smart,12ef2f41,1704297900.0,1704308160.0,BUY,43363.84051999999,42454.06714589039,46.3,20.0,-209.80000000000044,-229.80000000000044,36.978059,35.84,TREND
VT_2.5_Smart,03b49277,1704282900.0,1704283680.0,SELL,43571.10528,41870.089329868795,43.3,20.0,390.40000000000185,370.40000000000185,-68.935388,62.63,TREND
VT_2.5_Smart,5ae8b9f2,1704283860.0,1704284640.0,SELL,41650.308,42525.79747415999,151.3,20.0,-210.1999999999983,-230.1999999999983,-112.64078,75.97,TREND
VT_2.5_Smart,cbef23ea,1704284820.0,1704297240.0,SELL,41996.12184000001,42878.8803210768,105.1,20.0,-210.19999999999877,-230.19999999999877,-31.459957,41.02,TREND
VT_2.5_Smart,05556761,1704297900.0,1704308160.0,BUY,43363.84051999999,42454.06714589039,46.3,20.0,-209.80000000000044,-229.80000000000044,36.978059,35.84,TREND
