Scenario,PositionId,EntryTs,ExitTs,Direction,EntryPrice,ExitPrice,ExpMove,Cost,Realized,Net,Slope,ADX,Regime,Score,SafetyFactor
B1_Sens_Slip0,a2f5fa1e,1704283260.0,1704283740.0,SELL,42569.372637,40870.68439129315,,11.0,399.04000000000036,388.04000000000036,-138.772458,69.05,TREND,,
B1_Sens_Slip0,664cdf7d,1704283920.0,1704284160.0,SELL,41553.284256000006,42388.58837611412,,11.0,-201.02000000000112,-212.02000000000112,-114.828225,75.04,TREND,,
