timestamp,open,high,low,close,volume
1704056400000,42558.02000000,42576.00000000,42550.05000000,42575.99000000,13.02628000
1704056460000,42575.99000000,42584.90000000,42575.99000000,42584.89000000,3.16818000
1704056520000,42584.90000000,42591.96000000,42584.89000000,42591.95000000,5.01993000
1704056580000,42591.96000000,42591.96000000,42590.00000000,42591.96000000,12.66098000
1704056640000,42591.95000000,42591.96000000,42582.66000000,42582.66000000,5.55476000
1704056700000,42582.67000000,42582.67000000,42574.49000000,42582.66000000,15.78446000
1704056760000,42582.67000000,42597.90000000,42582.66000000,42597.89000000,11.32375000
1704056820000,42597.89000000,42597.90000000,42582.66000000,42590.66000000,14.79291000
1704056880000,42590.66000000,42597.30000000,42590.65000000,42597.29000000,6.26200000
1704056940000,42597.29000000,42600.00000000,42597.29000000,42598.00000000,7.61345000
1704057000000,42597.99000000,42610.00000000,42583.66000000,42609.99000000,26.33504000
1704057060000,42609.99000000,42610.00000000,42600.00000000,42600.00000000,10.29075000
1704057120000,42600.01000000,42600.01000000,42591.96000000,42591.96000000,34.31620000
1704057180000,42591.97000000,42591.97000000,42589.36000000,42589.37000000,5.29193000
1704057240000,42589.36000000,42591.45000000,42589.36000000,42591.44000000,8.25027000
1704057300000,42591.45000000,42591.45000000,42591.44000000,42591.44000000,4.30362000
1704057360000,42591.44000000,42636.00000000,42591.44000000,42636.00000000,16.06718000
1704057420000,42636.00000000,42640.84000000,42630.95000000,42630.95000000,23.11554000
1704057480000,42630.95000000,42670.44000000,42630.95000000,42654.62000000,80.32355000
1704057540000,42654.61000000,42654.62000000,42641.03000000,42641.05000000,19.81124000
1704057600000,42641.06000000,42641.06000000,42637.05000000,42637.06000000,4.93336000
1704057660000,42637.06000000,42637.06000000,42631.11000000,42631.48000000,12.37588000
1704057720000,42631.49000000,42631.49000000,42617.96000000,42619.00000000,11.27224000
1704057780000,42619.00000000,42619.00000000,42614.14000000,42618.99000000,6.12737000
1704057840000,42618.99000000,42658.26000000,42616.48000000,42652.27000000,44.86595000
1704057900000,42652.26000000,42652.27000000,42638.90000000,42640.62000000,12.77791000
1704057960000,42640.63000000,42640.63000000,42631.10000000,42634.26000000,8.88899000
1704058020000,42634.26000000,42650.27000000,42634.25000000,42641.96000000,24.06036000
1704058080000,42641.96000000,42641.97000000,42632.18000000,42632.19000000,7.87125000
