timestamp,open,high,low,close,volume
1704067200000,42283.58,42298.62,42261.02,42298.61,35.92724
1704067260000,42298.62,42320.0,42298.61,42320.0,21.16779
1704067320000,42319.99,42331.54,42319.99,42325.5,21.60391
1704067380000,42325.5,42368.0,42325.49,42367.99,30.5073
1704067440000,42368.0,42397.23,42367.99,42397.23,46.05107
1704067500000,42397.22,42409.2,42385.26,42409.2,32.26766
1704067560000,42409.19,42431.09,42405.89,42423.95,28.13597
1704067620000,42423.94,42432.74,42414.45,42414.45,26.49738
1704067680000,42414.45,42420.07,42406.0,42420.07,28.00823
1704067740000,42420.06,42420.07,42403.99,42409.96,26.40178
1704067800000,42409.97,42440.06,42409.96,42440.05,22.61788
1704067860000,42440.06,42480.68,42440.05,42479.32,31.81488
1704067920000,42479.31,42479.32,42462.22,42462.24,25.25342
1704067980000,42462.24,42480.16,42460.0,42480.15,21.40862
1704068040000,42480.16,42488.09,42465.78,42488.0,34.04769
1704068100000,42488.0,42516.46,42482.47,42510.0,33.40445
1704068160000,42510.01,42554.57,42510.0,42541.27,61.90631
1704068220000,42541.27,42541.27,42503.36,42503.36,27.71049
1704068280000,42503.36,42503.37,42467.28,42474.03,25.78878
1704068340000,42474.03,42476.5,42458.58,42458.85,14.51538
1704068400000,42458.85,42465.48,42458.28,42459.31,19.02752
1704068460000,42459.31,42459.31,42445.84,42446.0,40.51182
1704068520000,42446.01,42461.1,42446.0,42461.09,32.82982
1704068580000,42461.1,42473.15,42461.09,42468.18,12.69272
1704068640000,42468.17,42491.1,42468.17,42473.93,12.20924
1704068700000,42473.93,42500.0,42462.03,42499.99,23.92025
1704068760000,42500.0,42500.0,42463.62,42463.63,20.32232
1704068820000,42463.63,42470.01,42426.0,42436.0,32.69329
1704068880000,42436.01,42436.01,42415.74,42420.41,8.77715
1704068940000,42420.41,42420.45,42412.02,42419.73,25.93935
1704069000000,42419.73,42419.73,42391.34,42391.51,18.10354
1704069060000,42391.51,42391.51,42377.64,42381.99,12.99361
1704069120000,42382.0,42399.99,42373.11,42373.11,13.11311
1704069180000,42373.12,42376.0,42367.44,42373.82,23.24238
1704069240000,42373.81,42373.82,42354.19,42362.93,10.40672
1704069300000,42362.93,42362.94,42355.36,42359.68,12.28515
1704069360000,42359.69,42379.8,42357.57,42379.8,45.75418
1704069420000,42379.8,42424.21,42379.79,42416.27,60.49779
1704069480000,42416.26,42419.73,42408.41,42408.42,13.82183
1704069540000,42408.42,42447.82,42408.41,42447.82,16.82967
1704069600000,42447.82,42447.82,42439.08,42445.03,17.29636
1704069660000,42445.04,42445.04,42422.64,42423.8,14.3659
1704069720000,42423.8,42424.68,42419.34,42424.68,8.01692
1704069780000,42424.67,42431.86,42419.34,42419.35,12.37079
1704069840000,42419.34,42443.9,42396.5,42441.32,40.80849
1704069900000,42441.32,42462.01,42441.31,42462.01,20.20222
1704069960000,42462.0,42465.52,42462.0,42465.52,11.60893
1704070020000,42465.51,42465.52,42446.0,42446.01,17.62068
1704070080000,42446.0,42446.01,42433.1,42433.1,5.09397
1704070140000,42433.11,42433.11,42422.45,42422.46,5.22237
