Timestamp,Symbol,Side,Price,Qty,Comm,PnL,Event,PositionId,MarkPrice,FillPrice
1704154680.0,BTCUSDT,BUY,44685.475308,0.02797329,1.2499997595785235,0.0,OPEN,4a71615d,44676.54,44685.475308
1704282900.0,BTCUSDT,SELL_SL,43783.00744867964,0.02797329,1.2247547644340757,-26.46974990888183,CLOSE,4a71615d,43791.76580184,43783.00744867964
1704283200.0,BTCUSDT,SELL,43546.289000000004,0.02862551,1.2465347312323902,0.0,OPEN,caae6487,43555.0,43546.289000000004
1704283680.0,BTCUSDT,BUY_TP,41812.798327488,0.02862551,1.196912676651491,48.42514190424754,CLOSE,caae6487,41804.43744,41812.798327488
1704283860.0,BTCUSDT,SELL,41683.6616,0.01502306,0.626216149236496,0.0,OPEN,6180b58b,41692.0,41683.6616
1704284640.0,BTCUSDT,BUY_SL,42525.8382989664,0.01502306,0.6388682203156703,-13.290939299489878,CLOSE,6180b58b,42517.334832,42525.8382989664
1704284820.0,BTCUSDT,SELL,42029.752368,0.029757310000000002,1.2506923704378103,0.0,OPEN,bcce44a3,42038.16,42029.752368
1704297240.0,BTCUSDT,BUY_SL,42878.92148484307,0.029757310000000002,1.2759613590901355,-26.544950011415587,CLOSE,bcce44a3,42870.347415360004,42878.92148484307
1704297900.0,BTCUSDT,BUY,43329.18410399999,0.01439235,0.6236087828392043,0.0,OPEN,f1c19e15,43320.52,43329.18410399999
1704308160.0,BTCUSDT,SELL_SL,42454.1079018356,0.01439235,0.6110143798609837,-13.205417358081636,CLOSE,f1c19e15,42462.60042191999,42454.1079018356
1704308340.0,BTCUSDT,SELL,42247.268856,0.01474047,0.6227445991538024,0.0,OPEN,f75bd650,42255.72,42247.268856
1704336420.0,BTCUSDT,BUY_SL,43100.83267596662,0.01474047,0.6353265310351057,-13.217258412338484,CLOSE,f75bd650,43092.21423312,43100.83267596662
