Scenario,PositionId,EntryTs,ExitTs,Direction,EntryPrice,ExitPrice,ExpMove,Cost,Realized,Net,Slope,ADX,Regime,Score,SafetyFactor
V4_Combo,87b76494,1704154620.0,1704282900.0,BUY,44659.274659999995,43722.3230776332,26.9,20.0,-209.79999999999936,-229.79999999999936,21.502158,55.77,TREND,11.81,1.3
V4_Combo,8ce4b5b0,1704283200.0,1704283680.0,SELL,43511.445,41812.758187199994,47.2,20.0,390.4000000000014,370.4000000000014,-50.089215,67.34,TREND,17.68,1.3
V4_Combo,3219674c,1704283860.0,1704284640.0,SELL,41650.308,42525.79747415999,151.3,20.0,-210.1999999999983,-230.1999999999983,-112.64078,75.97,TREND,28.37,1.3
V4_Combo,3239d2b8,1704284820.0,1704297240.0,SELL,41996.12184000001,42878.8803210768,105.1,20.0,-210.19999999999877,-230.19999999999877,-31.459957,41.02,TREND,11.05,1.3
V4_Combo,37c902b3,1704297900.0,1704308160.0,BUY,43363.84051999999,42454.06714589039,46.3,20.0,-209.80000000000044,-229.80000000000044,36.978059,35.84,TREND,10.86,1.3
V4_Combo,6aab3559,1704308340.0,1704336360.0,SELL,42213.46428,43100.7912991656,36.7,20.0,-210.1999999999994,-230.1999999999994,-29.145796,43.16,TREND,11.04,1.3
V4_Combo,560c0093,1704382200.0,1704402001.0,BUY,44308.274009999994,44125.1307,28.8,20.0,-41.333884944075756,-61.333884944075756,37.314895,44.18,TREND,12.13,1.3
