Timestamp,Symbol,Reason,Details,Meta
1704132600.0,BTCUSDT,REJECT_EDGE_COST,Exp:10.0 (Sl:2.8/ATR:6.7) < Cost:7.0*2.0 Score:10.3,10.3
1704132660.0,BTCUSDT,REJECT_EDGE_COST,Exp:9.9 (Sl:2.5/ATR:6.6) < Cost:7.0*2.0 Score:10.4,10.4
1704132720.0,BTCUSDT,REJECT_EDGE_COST,Exp:10.5 (Sl:3.2/ATR:7.0) < Cost:7.0*2.0 Score:11.0,11.0
1704132780.0,BTCUSDT,REJECT_EDGE_COST,Exp:11.4 (Sl:4.4/ATR:7.6) < Cost:7.0*2.0 Score:11.9,11.9
1704132840.0,BTCUSDT,REJECT_EDGE_COST,Exp:11.3 (Sl:3.4/ATR:7.5) < Cost:7.0*2.0 Score:11.6,11.6
1704132900.0,BTCUSDT,REJECT_EDGE_COST,Exp:13.0 (Sl:4.8/ATR:8.7) < Cost:7.0*2.0 Score:12.7,12.7
1704132960.0,BTCUSDT,Exec Failed,REJECT_RISK_CAP: Risk 1.50% > 1.00%,Prof:BALANCED Lev:2.0
