Timestamp,Symbol,Side,Price,Qty,Comm,PnL,Event,PositionId
1704097080.0,BTCUSDT,SELL,21049.47,0.01187678,0.2499999243066,0.0,OPEN,916cd993
1704098100.0,BTCUSDT,BUY_TP,20207.4912,0.01187678,0.239999927334336,9.509997120623073,CLOSE,916cd993
1704098220.0,BTCUSDT,SELL,20099.945,0.01255612,0.2523773214134,0.0,OPEN,d76d6af8
1704099180.0,BTCUSDT,BUY_TP,19295.9472,0.01255612,0.24228222855686402,9.60043330656575,CLOSE,d76d6af8
1704099300.0,BTCUSDT,SELL,19200.395,0.01990409,0.38216639011555,0.0,OPEN,784754ba
1704100200.0,BTCUSDT,BUY_TP,18432.3792,0.01990409,0.366879734510928,14.537609479995542,CLOSE,784754ba
1704100320.0,BTCUSDT,SELL,18350.82,0.02112265,0.387617948073,0.0,OPEN,5cf66473
1704101220.0,BTCUSDT,BUY_TP,17616.7872,0.02112265,0.37211323015007997,14.744986744696938,CLOSE,5cf66473
1704101340.0,BTCUSDT,SELL,17501.245000000003,0.02246396,0.3931472676302001,0.0,OPEN,2e98294c
1704102180.0,BTCUSDT,BUY_TP,16801.195200000002,0.02246396,0.37742137692499206,14.955322060652824,CLOSE,2e98294c
1704102300.0,BTCUSDT,SELL,16701.645,0.02387523,0.39875561575335,0.0,OPEN,c7f7b789
1704103080.0,BTCUSDT,BUY_TP,16033.5792,0.02387523,0.382805391123216,15.16866362325744,CLOSE,c7f7b789
1704103200.0,BTCUSDT,SELL,15952.02,0.02535377,0.4044438461154001,0.0,OPEN,2c8f1a41
1704103980.0,BTCUSDT,BUY_TP,15313.9392,0.02535377,0.38826609227078407,15.385043906229807,CLOSE,2c8f1a41
1704104100.0,BTCUSDT,SELL,15202.395,0.02698346,0.4102132173867,0.0,OPEN,0bf5395b
1704104820.0,BTCUSDT,BUY_TP,14594.2992,0.02698346,0.39380468869123203,15.604510789390092,CLOSE,0bf5395b
1704104940.0,BTCUSDT,SELL,14502.745,0.0286887,0.4160649004815001,0.0,OPEN,3eca0f05
1704105660.0,BTCUSDT,BUY_TP,13922.6352,0.0286887,0.3994223044622401,15.827108814316263,CLOSE,3eca0f05
1704105780.0,BTCUSDT,SELL,13803.095000000001,0.03057286,0.4220000910017,0.0,OPEN,9d75b2f0
1704106440.0,BTCUSDT,BUY_TP,13250.9712,0.03057286,0.405120087361632,16.052883461704706,CLOSE,9d75b2f0
1704106560.0,BTCUSDT,SELL,13153.42,0.03254058,0.4280199157836,0.0,OPEN,97df073c
1704107220.0,BTCUSDT,BUY_TP,12627.2832,0.03254058,0.410899119152256,16.28187759640815,CLOSE,97df073c
1704107340.0,BTCUSDT,SELL,12503.745,0.03471965,0.43412565008924997,0.0,OPEN,27ee4618
1704107940.0,BTCUSDT,BUY_TP,12003.5952,0.03471965,0.41676062408568,16.514139729395108,CLOSE,27ee4618
1704108060.0,BTCUSDT,SELL,11904.045,0.03698897,0.44031836338365005,0.0,OPEN,14274e7a
1704108660.0,BTCUSDT,BUY_TP,11427.8832,0.03698897,0.4227056288483041,16.74971054311404,CLOSE,14274e7a
1704108780.0,BTCUSDT,SELL,11304.345000000001,0.03950689,0.4465995144370501,0.0,OPEN,f6ad2687
1704109320.0,BTCUSDT,BUY_TP,10852.1712,0.03950689,0.4287355338595681,16.9886455291854,CLOSE,f6ad2687
1704109440.0,BTCUSDT,SELL,10754.62,0.042118670000000004,0.4529702907554001,0.0,OPEN,20485d27
1704109980.0,BTCUSDT,BUY_TP,10324.4352,0.042118670000000004,0.434851479125184,17.23098986033546,CLOSE,20485d27
1704110100.0,BTCUSDT,SELL,10204.895,0.045020740000000004,0.4594319245223001,0.0,OPEN,6baeb48f
1704110580.0,BTCUSDT,BUY_TP,9796.699200000001,0.045020740000000004,0.4410546475414081,17.476790408828272,CLOSE,6baeb48f
1704110700.0,BTCUSDT,SELL,9705.145,0.0480143,0.46598574357350003,0.0,OPEN,c52003bb
