Bar,Equity
0,30.0
1,30.0
2,30.0
3,30.0
4,30.0
5,30.0
6,30.0
7,30.0
8,30.0
9,30.0
10,30.0
11,30.0
12,30.0
13,30.0
14,30.0
15,30.0
16,30.0
17,30.0
18,30.0
19,30.0
20,30.0
21,30.0
22,30.0
23,30.0
24,30.0
25,30.0
26,30.0
27,30.0
28,30.0
29,30.0
30,30.0
31,30.0
32,30.0
33,30.0
34,30.0
35,30.0
36,30.0
37,30.0
38,30.0
39,30.0
40,30.0
41,30.0
42,30.0
43,30.0
44,30.0
45,30.0
46,30.0
47,30.0
48,30.0
49,30.0
50,30.0
51,30.0
52,30.0
53,30.0
54,30.0
55,30.0
56,30.0
57,30.0
58,30.0
59,30.0
60,30.0
61,30.0
62,0.5363022865142348
63,0.5020045730284672
64,0.4677068595426996
65,0.433409146056932
66,0.3991114325711644
67,0.3648137190853967
68,0.3305160055996291
69,0.2962182921138615
70,0.2619205786280939
71,0.22762286514232632
72,0.19332515165655867
73,0.15902743817079107
74,0.12472972468502347
75,0.09043201119925587
76,0.05613429771348821
77,0.021836584227720612
78,-0.012461129258046988
79,29.353787999999998
80,29.353787999999998
81,29.353787999999998
82,29.353787999999998
83,29.353787999999998
84,29.353787999999998
85,29.353787999999998
86,29.353787999999998
87,29.353787999999998
88,29.353787999999998
89,29.353787999999998
90,29.353787999999998
91,29.353787999999998
92,29.353787999999998
93,29.353787999999998
94,29.353787999999998
95,29.353787999999998
96,29.353787999999998
97,29.353787999999998
98,29.353787999999998
