Bar,Timestamp,Equity,Balance,UnrealizedPnL,PositionQty
0,1704067260.0,1000.00,1000.00,0.00,0.00000000
1,1704067320.0,1000.00,1000.00,0.00,0.00000000
2,1704067380.0,1000.00,1000.00,0.00,0.00000000
3,1704067440.0,1000.00,1000.00,0.00,0.00000000
4,1704067500.0,1000.00,1000.00,0.00,0.00000000
5,1704067560.0,1000.00,1000.00,0.00,0.00000000
6,1704067620.0,1000.00,1000.00,0.00,0.00000000
7,1704067680.0,1000.00,1000.00,0.00,0.00000000
8,1704067740.0,1000.00,1000.00,0.00,0.00000000
9,1704067800.0,1000.00,1000.00,0.00,0.00000000
10,1704067860.0,1000.00,1000.00,0.00,0.00000000
11,1704067920.0,1000.00,1000.00,0.00,0.00000000
12,1704067980.0,1000.00,1000.00,0.00,0.00000000
13,1704068040.0,1000.00,1000.00,0.00,0.00000000
14,1704068100.0,1000.00,1000.00,0.00,0.00000000
15,1704068160.0,1000.00,1000.00,0.00,0.00000000
16,1704068220.0,1000.00,1000.00,0.00,0.00000000
17,1704068280.0,1000.00,1000.00,0.00,0.00000000
18,1704068340.0,1000.00,1000.00,0.00,0.00000000
19,1704068400.0,1000.00,1000.00,0.00,0.00000000
20,1704068460.0,1000.00,1000.00,0.00,0.00000000
21,1704068520.0,1000.00,1000.00,0.00,0.00000000
22,1704068580.0,1000.00,1000.00,0.00,0.00000000
23,1704068640.0,1000.00,1000.00,0.00,0.00000000
24,1704068700.0,1000.00,1000.00,0.00,0.00000000
25,1704068760.0,1000.00,1000.00,0.00,0.00000000
26,1704068820.0,1000.00,1000.00,0.00,0.00000000
27,1704068880.0,1000.00,1000.00,0.00,0.00000000
28,1704068940.0,1000.00,1000.00,0.00,0.00000000
29,1704069000.0,1000.00,1000.00,0.00,0.00000000
30,1704069060.0,1000.00,1000.00,0.00,0.00000000
31,1704069120.0,1000.00,1000.00,0.00,0.00000000
32,1704069180.0,1000.00,1000.00,0.00,0.00000000
33,1704069240.0,1000.00,1000.00,0.00,0.00000000
34,1704069300.0,1000.00,1000.00,0.00,0.00000000
35,1704069360.0,1000.00,1000.00,0.00,0.00000000
36,1704069420.0,1000.00,1000.00,0.00,0.00000000
37,1704069480.0,1000.00,1000.00,0.00,0.00000000
38,1704069540.0,1000.00,1000.00,0.00,0.00000000
39,1704069600.0,1000.00,1000.00,0.00,0.00000000
40,1704069660.0,1000.00,1000.00,0.00,0.00000000
41,1704069720.0,1000.00,1000.00,0.00,0.00000000
42,1704069780.0,1000.00,1000.00,0.00,0.00000000
43,1704069840.0,1000.00,1000.00,0.00,0.00000000
44,1704069900.0,1000.00,1000.00,0.00,0.00000000
45,1704069960.0,1000.00,1000.00,0.00,0.00000000
46,1704070020.0,1000.00,1000.00,0.00,0.00000000
47,1704070080.0,1000.00,1000.00,0.00,0.00000000
48,1704070140.0,1000.00,1000.00,0.00,0.00000000
49,1704070200.0,1000.00,1000.00,0.00,0.00000000
50,1704070260.0,1000.00,1000.00,0.00,0.00000000
51,1704070320.0,1000.00,1000.00,0.00,0.00000000
52,1704070380.0,1000.00,1000.00,0.00,0.00000000
53,1704070440.0,1000.00,1000.00,0.00,0.00000000
54,1704070500.0,1000.00,1000.00,0.00,0.00000000
55,1704070560.0,1000.00,1000.00,0.00,0.00000000
56,1704070620.0,1000.00,1000.00,0.00,0.00000000
57,1704070680.0,1000.00,1000.00,0.00,0.00000000
58,1704070740.0,1000.00,1000.00,0.00,0.00000000
59,1704070800.0,1000.00,1000.00,0.00,0.00000000
60,1704070860.0,1000.00,1000.00,0.00,0.00000000
61,1704070920.0,1000.00,1000.00,0.00,0.00000000
62,1704070980.0,1000.00,1000.00,0.00,0.00000000
63,1704071040.0,1000.00,1000.00,0.00,0.00000000
64,1704071100.0,1000.00,1000.00,0.00,0.00000000
65,1704071160.0,1000.00,1000.00,0.00,0.00000000
66,1704071220.0,1000.00,1000.00,0.00,0.00000000
67,1704071280.0,1000.00,1000.00,0.00,0.00000000
68,1704071340.0,1000.00,1000.00,0.00,0.00000000
69,1704071400.0,1000.00,1000.00,0.00,0.00000000
70,1704071460.0,1000.00,1000.00,0.00,0.00000000
71,1704071520.0,1000.00,1000.00,0.00,0.00000000
72,1704071580.0,1000.00,1000.00,0.00,0.00000000
73,1704071640.0,1000.00,1000.00,0.00,0.00000000
74,1704071700.0,1000.00,1000.00,0.00,0.00000000
75,1704071760.0,1000.00,1000.00,0.00,0.00000000
76,1704071820.0,1000.00,1000.00,0.00,0.00000000
77,1704071880.0,1000.00,1000.00,0.00,0.00000000
78,1704071940.0,1000.00,1000.00,0.00,0.00000000
79,1704072000.0,1000.00,1000.00,0.00,0.00000000
80,1704072060.0,1000.00,1000.00,0.00,0.00000000
81,1704072120.0,1000.00,1000.00,0.00,0.00000000
82,1704072180.0,1000.00,1000.00,0.00,0.00000000
83,1704072240.0,1000.00,1000.00,0.00,0.00000000
84,1704072300.0,1000.00,1000.00,0.00,0.00000000
85,1704072360.0,1000.00,1000.00,0.00,0.00000000
86,1704072420.0,1000.00,1000.00,0.00,0.00000000
87,1704072480.0,1000.00,1000.00,0.00,0.00000000
88,1704072540.0,1000.00,1000.00,0.00,0.00000000
89,1704072600.0,1000.00,1000.00,0.00,0.00000000
90,1704072660.0,1000.00,1000.00,0.00,0.00000000
91,1704072720.0,1000.00,1000.00,0.00,0.00000000
92,1704072780.0,1000.00,1000.00,0.00,0.00000000
93,1704072840.0,1000.00,1000.00,0.00,0.00000000
94,1704072900.0,1000.00,1000.00,0.00,0.00000000
95,1704072960.0,1000.00,1000.00,0.00,0.00000000
96,1704073020.0,1000.00,1000.00,0.00,0.00000000
97,1704073080.0,1000.00,1000.00,0.00,0.00000000
98,1704073140.0,1000.00,1000.00,0.00,0.00000000
