Timestamp,Symbol,Key,Details,Meta
1704063120.0,BTCUSDT,SizingDebug,Qty:0.001068,842.53|0.9000|0.001068|0.002136|0.001068|42126.46|42968.99|40441.40|3.0|30.00
1704132600.0,BTCUSDT,SizingDebug,Qty:0.001011,860.88|0.8703|0.001011|0.002022|0.001011|43043.92|42183.04|44765.68|3.0|29.01
1704155460.0,BTCUSDT,SizingDebug,Qty:0.001030,893.22|0.9198|0.001030|0.002060|0.001030|44661.06|43767.84|46447.50|3.0|30.66
1704283920.0,BTCUSDT,SizingDebug,Qty:0.000535,830.73|0.4447|0.000535|0.002141|0.000535|41536.66|42367.39|39875.19|3.0|29.65
1704284340.0,BTCUSDT,SizingDebug,Qty:0.000260,840.74|0.2187|0.000260|0.002081|0.000260|42036.97|42877.71|40355.49|3.0|29.16
1704297960.0,BTCUSDT,SizingDebug,Qty:0.000250,866.29|0.2169|0.000250|0.002003|0.000250|43314.48|42448.19|45047.06|3.0|28.92
1704321720.0,BTCUSDT,SizingDebug,Qty:0.000252,853.35|0.2151|0.000252|0.002017|0.000252|42667.62|43520.97|40960.91|3.0|28.68
1704380280.0,BTCUSDT,SizingDebug,Qty:0.000244,872.69|0.2133|0.000244|0.001956|0.000244|43634.45|42761.76|45379.82|3.0|28.44
